seed,dataset,run,model,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
20260724,crossing external,crossing_90_d_5,tensor_residual,0.3504186354237307,0.12048442035997758,0.17020924997998602,8.817329588921119,0.8834955918222452,6000.0
20260724,crossing external,crossing_90_d_5,gel_ped,0.3549691558191213,0.12230524115721553,0.1808741674894613,8.893211037260748,0.8804501032529494,6000.0
20260724,crossing external,crossing_90_d_6,interaction_mlp,0.35166808862317017,0.12045602971671501,0.18092996157429922,12.255037456491932,0.8452058089611959,6000.0
20260724,crossing external,crossing_90_d_6,tensor_residual,0.34041701722108375,0.11510379880316571,0.1592144426159013,11.917419828090676,0.8549521615998168,6000.0
20260724,crossing external,crossing_90_d_6,gel_ped,0.3410057619603748,0.11618742323219838,0.16754866437520666,12.026301598999941,0.8544500128059089,6000.0
20260724,crossing external,crossing_90_d_7,interaction_mlp,0.35718730934799864,0.1209276744641582,0.18517250346624126,13.71628320123662,0.8198986813042076,6000.0
20260724,crossing external,crossing_90_d_7,tensor_residual,0.35745808447009697,0.11912154013577428,0.17307662203915902,13.939114733159524,0.8196255168338442,6000.0
20260724,crossing external,crossing_90_d_7,gel_ped,0.3505361294010813,0.1182360208275132,0.17690544076961892,13.554539724009764,0.8265435610988998,6000.0
20260724,crossing external,crossing_90_d_8,interaction_mlp,0.36452862774422295,0.12147522147074326,0.19450432099258774,15.233832243918759,0.8004755066511583,6000.0
20260724,crossing external,crossing_90_d_8,tensor_residual,0.3530083818273705,0.11708057772339929,0.17332614051896325,14.83553262168182,0.8128874273288564,6000.0
20260724,crossing external,crossing_90_d_8,gel_ped,0.3517546705149678,0.11722736619824668,0.1807281245253843,14.765585947375712,0.814214130012689,6000.0
20260724,crossing external,crossing_90_e_1,interaction_mlp,0.3595785613970481,0.12341877878885493,0.17775993532654732,11.114506028861268,0.8679769416475656,6000.0
20260724,crossing external,crossing_90_e_1,tensor_residual,0.34390046997800167,0.11687848935491425,0.15691239910679905,10.816686054634244,0.8792387091564727,6000.0
20260724,crossing external,crossing_90_e_1,gel_ped,0.34635420872124717,0.1183666440257982,0.16484655623021222,10.799372092943305,0.8775092915051762,6000.0
20260724,crossing external,crossing_90_e_2,interaction_mlp,0.38524166090402,0.13110367188599178,0.18915459623889944,12.820056688333825,0.8458720430866613,6000.0
20260724,crossing external,crossing_90_e_2,tensor_residual,0.37467218607450326,0.12582270341825239,0.170149330536423,12.47837601110379,0.8542133230019793,6000.0
20260724,crossing external,crossing_90_e_2,gel_ped,0.3745712470143415,0.1268689758534021,0.17712556975592414,12.437131826272138,0.854291864129254,6000.0
20260724,crossing external,crossing_90_e_3,interaction_mlp,0.3959687673939382,0.13683387856845014,0.1978502055592349,12.993493255519821,0.8141526781700117,6000.0
20260724,crossing external,crossing_90_e_3,tensor_residual,0.3818583686207189,0.13095752133007504,0.1795714361309993,12.498738809756656,0.8271620648197577,6000.0
20260724,crossing external,crossing_90_e_3,gel_ped,0.3843660874445018,0.13253435023418353,0.18676572978399736,12.662504074135963,0.8248845076187,6000.0
