calibration_runs,subset,training_run_names,maximum_samples_per_training_run,dataset,run,model,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_1,direct_network,0.39544125319765727,0.13565728861970922,0.2282817918970025,10.856510251231683,0.8403289594443875,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_1,gel_ped,0.37169033239525623,0.12771816931598567,0.18408798230994178,11.782838891527224,0.8589332247477117,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_2,direct_network,0.4255749566904333,0.14510238082616142,0.23855072115787326,13.135944499866754,0.8119094156817314,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_2,gel_ped,0.40098226746990934,0.13729660786244247,0.19718313467569829,13.834627142313995,0.8330196899604574,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_3,direct_network,0.42400041811887085,0.14557796605063789,0.23633340659109153,12.568321059160072,0.7869080648260721,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_3,gel_ped,0.4058829865739872,0.1399013790393622,0.2050954948422002,13.112556359680712,0.8047297247758717,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_4,direct_network,0.4099350267201659,0.13945022724232167,0.2140717234670018,17.04815561255625,0.7503103600052101,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_4,gel_ped,0.393809070380275,0.1346268590820466,0.1864479292409548,17.65810051802395,0.7695684735602579,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_5,direct_network,0.4022199489533382,0.13699583908705307,0.20873224777705437,19.018012886482246,0.7148983987863339,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_5,gel_ped,0.3893829600247933,0.13310781432771554,0.18586225782217958,19.38600351440317,0.732806229961727,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_6,direct_network,0.4094067822268918,0.13668278263357153,0.22292345638456962,16.30310641307674,0.764078794003272,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_e_6,gel_ped,0.38385706524180446,0.12920653906571364,0.18976805384325643,16.61830508591098,0.7926060940255251,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,corridor held-out,bi_corr_400_a_03,direct_network,0.18192169959579826,0.0618979910329735,0.08282757513618152,13.907203082415963,0.8578359142234026,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,corridor held-out,bi_corr_400_a_03,gel_ped,0.18072726609246006,0.06142612019299318,0.07836539228554702,13.449823297670584,0.8596965840152143,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,corridor held-out,bi_corr_400_b_02,direct_network,0.20428386245541896,0.06817657606927323,0.0717708335935928,5.376570358349537,0.9735774223883827,4507.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,corridor held-out,bi_corr_400_b_02,gel_ped,0.20007879636286102,0.06687452416522026,0.06971114896557234,5.371848680714187,0.9746540138489617,4507.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,corridor held-out,bi_corr_400_b_04,direct_network,0.2204894165474421,0.07318557335038102,0.09372293240565274,13.75827909749057,0.8489129927077872,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,corridor held-out,bi_corr_400_b_04,gel_ped,0.21590848662383086,0.07188377459217954,0.08870545729562548,13.466153754747104,0.8551258006129285,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,corridor held-out,bi_corr_400_b_06,direct_network,0.23190316158371177,0.0770655842150713,0.09648624237131229,18.133024795669666,0.7326907946180322,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,corridor held-out,bi_corr_400_b_06,gel_ped,0.22442722619156963,0.07523249375795454,0.0912779937989371,18.0329499327678,0.7496476573885931,6000.0
