dataset,model,parameters,vector_rmse_mps,sem_vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,false_contact_rate
crossing external,isotropic_constrained,4,0.3990929110615956,0.003435512444384233,0.13877955639139963,0.16253581884857038,15.604136891565759,0.813414585623478,0.014585713466166864
crossing external,isotropic_unconstrained,4,0.3990929110615956,0.003435512444384233,0.13877955639139963,0.16253581884857038,15.604136891565759,0.813414585623478,0.014585713466166864
crossing external,shared_goal_frame,6,0.39541306809685783,0.0025156054829989036,0.13818522056750948,0.18009768333107942,15.047666623941307,0.8179184126327286,0.013630803614732621
crossing external,decoupled_scalar_geometry,8,0.3886556591461818,0.0040370312177208404,0.13449534539181612,0.15490351805577424,15.082513161089716,0.8219714014220637,0.014335034167447388
crossing external,tensor_persistence_only,2,0.37153766514585457,0.0067241113798101135,0.1266266215486097,0.17164549661238404,13.5977200696574,0.834560993915993,0.012835625864075948
crossing external,tensor_no_isotropic,8,0.36885161472280814,0.006691149105435024,0.1255362146461349,0.17196489644031884,13.359726746770672,0.8370282305061255,0.01252532440051771
crossing external,tensor_no_forward,8,0.3688786198978863,0.006932689877470997,0.12533385801838223,0.169495303588925,13.298174374276202,0.8367542547940106,0.012514029050814977
crossing external,tensor_no_closing,8,0.3695382160222235,0.006307007665690124,0.12607543519452297,0.17229850561726887,13.524663053816054,0.8367288009192873,0.012075384991003468
crossing external,tensor_no_wall,9,0.3694581524077891,0.006699952927372221,0.1256152840422103,0.17255980771184026,13.31731252440243,0.8364853204875816,0.012455376832428044
crossing external,tensor_response,10,0.36939076618180633,0.006657725714731885,0.1256464072792674,0.17248244027758242,13.315545098040015,0.836580054753601,0.012404401257240606
crossing external,tensor_without_cap,10,0.36939076618180633,0.006657725714731885,0.1256464072792674,0.17248244027758242,13.315545098040015,0.836580054753601,0.012404401257240606
crossing external,unrestricted_ten_scalar,22,0.3702657291032491,0.007170691200927917,0.1254306812071479,0.1713234839312802,13.230509285093222,0.835391398869566,0.012180544440497213
crossing external,invariant_ridge,26,0.3717624793654854,0.006939825052793554,0.1261078261292989,0.17465492135198207,13.26380699134292,0.8343690892970588,0.012237518357344277
crossing external,interaction_mlp,5122,0.3638210514430712,0.0037899374345391214,0.12402137525936743,0.18158088976065703,12.138396774062482,0.8467871498816562,0.010614690025972857
crossing external,goal_stable_neural,5122,0.3642441857721881,0.0037619730443031463,0.12399720820980627,0.18203981460654317,12.112925542840246,0.8464395229461432,0.010587686189370596
crossing external,tensor_residual,5260,0.3624592228601201,0.004578142250120074,0.12302832942778852,0.17618411327912356,12.435174638691603,0.8453829974161982,0.010839225374535593
crossing external,tensor_residual_ungated,5260,0.35625304174950373,0.003877709990109135,0.12172691372633852,0.1708128955863333,12.411660144545728,0.8518812770947979,0.010786133001769085
