dataset,run,model,parameters,speed_cap_mps,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples,predicted_contact_rate,false_contact_rate,compared_pairs
crossing external,crossing_90_d_3,goal_stable_neural,18434,100.0,0.3646376003573312,0.12679930461380226,0.20368795692389874,5.974094476916749,0.9165349285745533,6000.0,0.010768515649209793,0.008986674930275797,12908.0
crossing external,crossing_90_d_3,tensor_residual,18700,100.0,0.3367814787771915,0.11503686599680996,0.16507888163293674,5.753147190917675,0.9288002827629033,6000.0,0.010691044313603966,0.00875426092345832,12908.0
crossing external,crossing_90_d_3,tensor_residual_ungated,18700,100.0,0.3367814787771915,0.11503686599680996,0.16507888163293674,5.753147190917675,0.9288002827629033,6000.0,0.010691044313603966,0.00875426092345832,12908.0
crossing external,crossing_90_d_3,gel_ped,37134,100.0,0.3457064619499352,0.11908481231286608,0.1807731019219134,5.8163918477128975,0.9249765788302863,6000.0,0.010536101642392316,0.008676789587852495,12908.0
crossing external,crossing_90_d_5,constant_velocity,0,100.0,0.40905218315230474,0.14233191590703495,0.16124791538778147,11.691881775342438,0.8412457357224268,6000.0,0.016122143924834506,0.012972453555413196,18732.0
crossing external,crossing_90_d_5,social_force,4,100.0,0.3948953611778599,0.1381187508411671,0.16786115006134322,11.288665173677478,0.8520441865157534,6000.0,0.013986760623531923,0.011050608584240871,18732.0
crossing external,crossing_90_d_5,isotropic_constrained,4,100.0,0.3948953612742724,0.1381187508820877,0.16786115017395284,11.28866522241294,0.8520441864435074,6000.0,0.013986760623531923,0.011050608584240871,18732.0
crossing external,crossing_90_d_5,isotropic_unconstrained,4,100.0,0.3948953612742724,0.1381187508820877,0.16786115017395284,11.28866522241294,0.8520441864435074,6000.0,0.013986760623531923,0.011050608584240871,18732.0
crossing external,crossing_90_d_5,shared_goal_frame,6,100.0,0.3904860553396462,0.13745101944032326,0.18555171535763104,10.723330705375627,0.855329817718122,6000.0,0.013506299380738843,0.01046337817638266,18732.0
crossing external,crossing_90_d_5,decoupled_scalar_geometry,8,100.0,0.3822173774559948,0.13318287764420472,0.1602365790847142,10.797165645427185,0.8613918310244517,6000.0,0.013879991458466795,0.010943839419175741,18732.0
crossing external,crossing_90_d_5,tensor_persistence_only,2,100.0,0.3537016706063302,0.122178200962333,0.16670758627361068,9.152886699684025,0.8813023305210629,6000.0,0.01323937646807602,0.010089686098654708,18732.0
crossing external,crossing_90_d_5,tensor_no_isotropic,8,100.0,0.35007149252856906,0.12100814302505827,0.16689906154827527,9.007177162153718,0.8837263081179214,6000.0,0.01243860773008755,0.009449071108263934,18732.0
crossing external,crossing_90_d_5,tensor_no_forward,8,100.0,0.3493592811669829,0.1205620054608002,0.1644463007949521,8.99960591564658,0.8841989384652128,6000.0,0.012385223147554986,0.009395686525731368,18732.0
crossing external,crossing_90_d_5,tensor_no_closing,8,100.0,0.3525198121723315,0.12196842917505937,0.16776204290768976,9.161117007712264,0.8820942378331218,6000.0,0.01243860773008755,0.009502455690796498,18732.0
crossing external,crossing_90_d_5,tensor_no_wall,9,100.0,0.35056155063879835,0.121140339350884,0.1675017174240354,8.970038823126705,0.8834005418094981,6000.0,0.01243860773008755,0.009342301943198805,18732.0
crossing external,crossing_90_d_5,tensor_response,10,100.0,0.3506250291211965,0.12118376114860006,0.16746533176121692,8.99877614606423,0.8833583111269538,6000.0,0.012385223147554986,0.009342301943198805,18732.0
crossing external,crossing_90_d_5,tensor_without_cap,10,100.0,0.3506250291211965,0.12118376114860006,0.16746533176121692,8.99877614606423,0.8833583111269538,6000.0,0.012385223147554986,0.009342301943198805,18732.0
crossing external,crossing_90_d_5,unrestricted_ten_scalar,22,100.0,0.3492225767874181,0.12029044883733829,0.1655769027703913,8.884713597226181,0.8842895467065359,6000.0,0.0120649156523596,0.008915225282938288,18732.0
crossing external,crossing_90_d_5,invariant_ridge,26,100.0,0.3509948814158205,0.12109818746371073,0.16886332326480438,8.885253773798883,0.8831121053764585,6000.0,0.012118300234892163,0.009021994448003416,18732.0
crossing external,crossing_90_d_5,interaction_mlp,18434,100.0,0.3636770434880253,0.12552759237481578,0.1879606358537695,8.941900886056267,0.8745127085455475,6000.0,0.01126414691437113,0.008327994875080076,18732.0
crossing external,crossing_90_d_5,goal_stable_neural,18434,100.0,0.3678761338111089,0.1260726051563654,0.1890722240579857,8.964163524319396,0.871598174805649,6000.0,0.01126414691437113,0.008327994875080076,18732.0
crossing external,crossing_90_d_5,tensor_residual,18700,100.0,0.34827953123867245,0.1200083396827753,0.16726618200836038,8.995923782898526,0.8849136351834412,6000.0,0.011157377749306,0.008221225710014948,18732.0
crossing external,crossing_90_d_5,tensor_residual_ungated,18700,100.0,0.34827953123867245,0.1200083396827753,0.16726618200836038,8.995923782898526,0.8849136351834412,6000.0,0.011157377749306,0.008221225710014948,18732.0
crossing external,crossing_90_d_5,gel_ped,37134,100.0,0.35287051966545835,0.12168725706672952,0.17597919658849862,8.859780910601144,0.8818595219291004,6000.0,0.011317531496903694,0.008381379457612642,18732.0
crossing external,crossing_90_d_6,constant_velocity,0,100.0,0.41797725092601234,0.14517034658057357,0.15047066483834964,17.327089535417993,0.7813275718268395,6000.0,0.02000116624876086,0.015336171205318095,17149.0
crossing external,crossing_90_d_6,social_force,4,100.0,0.3993942259296613,0.1393590590382851,0.15193576928876923,16.62144818688754,0.8003394326529066,6000.0,0.019126479678115343,0.014169922444457403,17149.0
crossing external,crossing_90_d_6,isotropic_constrained,4,100.0,0.39939422601983604,0.13935905908322577,0.15193576939043052,16.621448243089855,0.8003394325627484,6000.0,0.019126479678115343,0.014169922444457403,17149.0
crossing external,crossing_90_d_6,isotropic_unconstrained,4,100.0,0.39939422601983604,0.13935905908322577,0.15193576939043052,16.621448243089855,0.8003394325627484,6000.0,0.019126479678115343,0.014169922444457403,17149.0
crossing external,crossing_90_d_6,shared_goal_frame,6,100.0,0.39008395657204176,0.13681534951987673,0.16581153010484073,15.98469436711477,0.8095395023069774,6000.0,0.018018543355297685,0.01300367368359671,17149.0
crossing external,crossing_90_d_6,decoupled_scalar_geometry,8,100.0,0.38925236753465564,0.13533499447559685,0.14770057712861503,15.938640995307093,0.8103506919763327,6000.0,0.018485042859641962,0.013703422940113126,17149.0
crossing external,crossing_90_d_6,tensor_persistence_only,2,100.0,0.3555510776036741,0.12257832037407682,0.15830050471709395,13.568933518028725,0.8417685764026251,6000.0,0.017027231908566098,0.011662487608606916,17149.0
crossing external,crossing_90_d_6,tensor_no_isotropic,8,100.0,0.35091184565273426,0.1209289079384007,0.15711211517094986,13.518644630615864,0.8458708459940646,6000.0,0.017552043850953408,0.012070674674908157,17149.0
crossing external,crossing_90_d_6,tensor_no_forward,8,100.0,0.3507023349416281,0.12064838733905148,0.15473324107872766,13.328700706073743,0.8460548356155668,6000.0,0.017493731412910375,0.011954049798822088,17149.0
crossing external,crossing_90_d_6,tensor_no_closing,8,100.0,0.35364761295824426,0.12202400711846476,0.1580864439399453,13.610188292259,0.8434582447820549,6000.0,0.016385795090092716,0.0109627383520905,17149.0
crossing external,crossing_90_d_6,tensor_no_wall,9,100.0,0.3512050986892951,0.12093141850409739,0.15753787025455435,13.36294176062227,0.8456131303935561,6000.0,0.017027231908566098,0.011604175170563882,17149.0
crossing external,crossing_90_d_6,tensor_response,10,100.0,0.3513781854026459,0.12100997916110448,0.15751579788467515,13.387375577809046,0.8454609179068263,6000.0,0.017027231908566098,0.011604175170563882,17149.0
crossing external,crossing_90_d_6,tensor_without_cap,10,100.0,0.3513781854026459,0.12100997916110448,0.15751579788467515,13.387375577809046,0.8454609179068263,6000.0,0.017027231908566098,0.011604175170563882,17149.0
crossing external,crossing_90_d_6,unrestricted_ten_scalar,22,100.0,0.34927573089374137,0.11992703080064658,0.15554576718676916,13.089124135819608,0.8473047395073239,6000.0,0.016852294594436993,0.011487550294477813,17149.0
crossing external,crossing_90_d_6,invariant_ridge,26,100.0,0.3503616027235341,0.12049004857218096,0.15850539046962256,13.174117995080445,0.8463538276134621,6000.0,0.016968919470523064,0.011604175170563882,17149.0
crossing external,crossing_90_d_6,interaction_mlp,18434,100.0,0.34681150780847536,0.1186618887213959,0.17198384907640624,12.031590171171569,0.8494517414168851,6000.0,0.014753046824887749,0.009213365210799464,17149.0
crossing external,crossing_90_d_6,goal_stable_neural,18434,100.0,0.3466168200845724,0.11858787207867838,0.17200711298002302,12.008251744896196,0.8496207189183288,6000.0,0.014753046824887749,0.009213365210799464,17149.0
crossing external,crossing_90_d_6,tensor_residual,18700,100.0,0.3375163108442912,0.11482359110513414,0.15752436366708225,12.052359281751203,0.8574135462706022,6000.0,0.015219546329232026,0.009621552277100705,17149.0
crossing external,crossing_90_d_6,tensor_residual_ungated,18700,100.0,0.3375163108442912,0.11482359110513414,0.15752436366708225,12.052359281751203,0.8574135462706022,6000.0,0.015219546329232026,0.009621552277100705,17149.0
crossing external,crossing_90_d_6,gel_ped,37134,100.0,0.3396703710338301,0.11585386054043881,0.1633525526913382,11.93847696062304,0.8555877388005215,6000.0,0.015336171205318095,0.009563239839057672,17149.0
crossing external,crossing_90_d_7,constant_velocity,0,100.0,0.40712891206799184,0.1408317731421834,0.1498419352057722,19.10384825556146,0.7660146096903814,6000.0,0.022908140063665303,0.016427921782628467,17592.0
crossing external,crossing_90_d_7,social_force,4,100.0,0.3897179098905223,0.13538815267349671,0.1515540115088672,18.052790710150468,0.78559960477624,6000.0,0.02205547976352888,0.015575261482492041,17592.0
crossing external,crossing_90_d_7,isotropic_constrained,4,100.0,0.3897179099911887,0.13538815271331228,0.151554011622328,18.05279071272779,0.7855996046654782,6000.0,0.02205547976352888,0.015575261482492041,17592.0
